filename,confidence,original_caption
00000,0.66552734375,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks like a woman
00001,0.5849609375,Picture of a young girl with blonde hair. The hair is blonde. Hair color is always a good idea. Eyes are blue. Face looks like a doll
00003,0.51171875,Picture of a woman with a zebra mask. The hair is long. Hair color is black. Eyes are open. Face looks like a zebra
00004,0.6513671875,Picture of a man smiling. The hair is gray. Hair color is light gray. Eyes are open. Face looks slightly slightly
00005,0.87158203125,Picture of a woman with multi colored hair. The hair is multi colored. Hair color is multi - colored. Eyes are open. Face looks like a unicorn
00006,0.689453125,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left
00008,0.91796875,Picture of a woman. The hair is black. Hair color is black. Eyes are open. Face looks like a woman
00010,0.76611328125,Picture of a man. The hair is dark. Hair color is dark. Eyes are open. Face looks very happy
00013,0.85009765625,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks like a girl
00016,0.64404296875,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly slightly
00017,0.82421875,Picture of a woman. The hair is curly. Hair color is brown. Eyes are open. Face looks like a man
00021,0.67578125,Picture of a young girl. The hair is brown. Hair color is brown. Eyes are open. Face looks like a child
00022,0.72509765625,Picture of a little girl. The hair is black. Hair color is brown. Eyes are open. Face looks like a baby
00027,0.79833984375,Picture of a man in a pink hat. The hair is brown. Hair color is pink. Eyes are open. Face looks like a man
00031,0.70556640625,Picture of a young girl wearing a hat. The hair is brown. Hair color is purple. Eyes are wide. Face looks like a little girl
00032,0.5849609375,Picture of a man. The hair is long. Hair color is black. Eyes are open. Face looks very happy
00035,0.71533203125,Picture of a young boy. The hair is black. Hair color is black. Eyes are open. Face looks like a boy
00037,0.53125,Picture of a girl with glasses and flowers. The hair is long. Hair color is blonde. Eyes are wide. Face looks like a face
00039,0.83544921875,Picture of a woman smiling. The hair is wet. Hair color is brown. Eyes are open. Face looks like a face
